_pv potential_vorticity
_crwc specific_rain_water_content
_cswc specific_snow_water_content
_z geopotential
_t temperature
_u u_component_of_wind
_v v_component_of_wind
_q specific_humidity
_w vertical_velocity
_vo vorticity_relative
_d divergence
_r relative_humidity
_o3 ozone_mass_mixing_ratio
_clwc specific_cloud_liquid_water_content
_ciwc specific_cloud_ice_water_content
_cc cloud_cover
