_sro\. surface_runoff
_ssro\. sub-surface_runoff
_es\. snow_evaporation
_smlt\. snowmelt
_lspf\. large-scale_precipitation_fraction
_uvb\. downward_UV_radiation_at_the_surface
_lsp\. large-scale_precipitation
_cp\. convective_precipitation
_sf\. snowfall
_bld\. boundary_layer_dissipation
_sshf\. surface_sensible_heat_flux
_slhf\. surface_latent_heat_flux
_ssrd\. surface_solar_radiation_downwards
_strd\. surface_thermal_radiation_downwards
_ssr\. surface_net_solar_radiation
_str\. surface_net_thermal_radiation
_tsr\. top_net_solar_radiation
_ttr\. top_thermal_radiation
_ewss\. eastward_turbulent_surface_stress
_nsss\. northward_turbulent_surface_stress
_e\. evaporation
_lgws\. eastward_gravity_wave_surface_stress
_mgws\. northward_gravity_wave_surface_stress
_gwd\. gravity_wave_dissipation
_ro\. runoff
_tsrc\. top_net_solar_radiation,_clear_sky
_ttrc\. top_net_thermal_radiation,_clear_sky
_ssrc\. surface_net_solar_radiation,_clear_sky
_strc\. surface_net_thermal_radiation,_clear_sky
_tisr\. TOA_incident_solar_radiation
_vimd\. vertically_integrated_moisture_divergence
_csf\. convective_snowfall
_lsf\. large-scale_snowfall
_fdir\. total_sky_direct_solar_radiation_at_surface
_cdir\. clear-sky_direct_solar_radiation_at_surface
_ssrdc\. surface_solar_radiation_downward_clear-sky
_strdc\. surface_thermal_radiation_downward_clear-sky
_pev\. potential_evaporation
