_msror Mean_surface_runoff_rate
_mssror Mean_sub-surface_runoff_rate
_mser Mean_snow_evaporation_rate
_msmr Mean_snowmelt_rate
_mlspf Mean_large-scale_precipitation_fraction
_msdwuvrf Mean_surface_downward_UV_radiation_flux
_mlspr Mean_large-scale_precipitation_rate
_mcpr Mean_convective_precipitation_rate
_msr Mean_snowfall_rate
_mbld Mean_boundary_layer_dissipation
_msshf Mean_surface_sensible_heat_flux
_mslhf Mean_surface_latent_heat_flux
_msdwswrf Mean_surface_downward_short-wave_radiation_flux
_msdwlwrf Mean_surface_downward_long-wave_radiation_flux
_msnswrf Mean_surface_net_short-wave_radiation_flux
_msnlwrf Mean_surface_net_long-wave_radiation_flux
_mtnswrf Mean_top_net_short-wave_radiation_flux
_mtnlwrf Mean_top_net_long-wave_radiation_flux
_metss Mean_eastward_turbulent_surface_stress
_mntss Mean_northward_turbulent_surface_stress
_mer Mean_evaporation_rate
_megwss Mean_eastward_gravity_wave_surface_stress
_mngwss Mean_northward_gravity_wave_surface_stress
_mgwd Mean_gravity_wave_dissipation
_mror Mean_runoff_rate
_mtnswrfcs Mean_top_net_short-wave_radiation_flux,_clear_sky
_mtnlwrfcs Mean_top_net_long-wave_radiation_flux,_clear_sky
_msnswrfcs Mean_surface_net_short-wave_radiation_flux,_clear_sky
_msnlwrfcs Mean_surface_net_long-wave_radiation_flux,_clear_sky
_mtdwswrf Mean_top_downward_short-wave_radiation_flux
_mvimd Mean_vertically_integrated_moisture_divergence
_mtpr Mean_total_precipitation_rate
_mcsr Mean_convective_snowfall_rate
_mlssr Mean_large-scale_snowfall_rate
_msdrswrf Mean_surface_direct_short-wave_radiation_flux
_msdrswrfcs Mean_surface_direct_short-wave_radiation_flux,_clear_sky
_msdwswrfcs Mean_surface_downward_short-wave_radiation_flux,_clear_sky
_msdwlwrfcs Mean_surface_downward_long-wave_radiation_flux,_clear_sky
_mper Mean_potential_evaporation_rate
